"TRACT","HRCN_AFREQ"
970101,1.16351178011302
970102,0.792186571454575
970103,0.837155782179136
970200,0.94132222161752
970301,0.536251423051966
970304,0.641255478447866
970305,0.963129769648579
970401,0.467535503477295
970402,0.467535733138546
970403,0.954597440580639
970501,0.467535503477295
970502,0.467535503477295
970503,0.467535503477295
970504,0.467535503477295
970601,0.456281445572218
970602,0.465250751004606
970603,0.467535503477295
970606,0.467535503477295
970701,0.46704755780517
970702,0.467535503477295
970703,0.467535503477295
970704,0.467535503477295
970801,0.387048362940857
970804,0.414372252221581
970805,0.407574586672691
970806,0.397405177955701
970903,3.07922211503237
970904,0.599350814901549
971003,2.48560168961075
971103,0.850999375890373
980100,1.52724490956618
