"","Data Type","Census Tract","Age","Population","Sex","Number of Individuals"
"96","Estimate",970200,"25 to 34 years","141","Female","679"
"97","Estimate",970200,"35 to 44 years","83","Male","571"
"98","Estimate",970200,"35 to 44 years","83","Female","679"
"99","Estimate",970200,"45 to 54 years","154","Male","571"
"100","Estimate",970200,"45 to 54 years","154","Female","679"
"101","Estimate",970200,"55 to 59 years","86","Male","571"
"102","Estimate",970200,"55 to 59 years","86","Female","679"
"103","Estimate",970200,"60 to 64 years","176","Male","571"
"104","Estimate",970200,"60 to 64 years","176","Female","679"
"105","Estimate",970200,"65 to 74 years","232","Male","571"
"106","Estimate",970200,"65 to 74 years","232","Female","679"
"107","Estimate",970200,"75 to 84 years","74","Male","571"
"108","Estimate",970200,"75 to 84 years","74","Female","679"
"109","Estimate",970200,"85 years and over","33","Male","571"
"110","Estimate",970200,"85 years and over","33","Female","679"
"111","Estimate",970200,"Median age (years)","53.8","Male","571"
"112","Estimate",970200,"Median age (years)","53.8","Female","679"
"113","Estimate",970301,"Under 5 years","167","Male","2,311"
"114","Estimate",970301,"Under 5 years","167","Female","2,375"
"115","Estimate",970301,"5 to 9 years","242","Male","2,311"
"116","Estimate",970301,"5 to 9 years","242","Female","2,375"
"117","Estimate",970301,"10 to 14 years","217","Male","2,311"
"118","Estimate",970301,"10 to 14 years","217","Female","2,375"
"119","Estimate",970301,"15 to 19 years","188","Male","2,311"
"120","Estimate",970301,"15 to 19 years","188","Female","2,375"
"121","Estimate",970301,"20 to 24 years","160","Male","2,311"
"122","Estimate",970301,"20 to 24 years","160","Female","2,375"
"123","Estimate",970301,"25 to 34 years","602","Male","2,311"
"124","Estimate",970301,"25 to 34 years","602","Female","2,375"
"125","Estimate",970301,"35 to 44 years","426","Male","2,311"
"126","Estimate",970301,"35 to 44 years","426","Female","2,375"
"127","Estimate",970301,"45 to 54 years","412","Male","2,311"
"128","Estimate",970301,"45 to 54 years","412","Female","2,375"
"129","Estimate",970301,"55 to 59 years","548","Male","2,311"
"130","Estimate",970301,"55 to 59 years","548","Female","2,375"
"131","Estimate",970301,"60 to 64 years","263","Male","2,311"
"132","Estimate",970301,"60 to 64 years","263","Female","2,375"
"133","Estimate",970301,"65 to 74 years","1,083","Male","2,311"
"134","Estimate",970301,"65 to 74 years","1,083","Female","2,375"
"135","Estimate",970301,"75 to 84 years","307","Male","2,311"
"136","Estimate",970301,"75 to 84 years","307","Female","2,375"
"137","Estimate",970301,"85 years and over","71","Male","2,311"
"138","Estimate",970301,"85 years and over","71","Female","2,375"
"139","Estimate",970301,"Median age (years)","52.3","Male","2,311"
"140","Estimate",970301,"Median age (years)","52.3","Female","2,375"
"141","Estimate",970304,"Under 5 years","67","Male","938"
"142","Estimate",970304,"Under 5 years","67","Female","1,386"
"143","Estimate",970304,"5 to 9 years","104","Male","938"
"144","Estimate",970304,"5 to 9 years","104","Female","1,386"
"145","Estimate",970304,"10 to 14 years","246","Male","938"
"146","Estimate",970304,"10 to 14 years","246","Female","1,386"
"147","Estimate",970304,"15 to 19 years","105","Male","938"
"148","Estimate",970304,"15 to 19 years","105","Female","1,386"
"149","Estimate",970304,"20 to 24 years","87","Male","938"
"150","Estimate",970304,"20 to 24 years","87","Female","1,386"
"151","Estimate",970304,"25 to 34 years","210","Male","938"
"152","Estimate",970304,"25 to 34 years","210","Female","1,386"
"153","Estimate",970304,"35 to 44 years","238","Male","938"
"154","Estimate",970304,"35 to 44 years","238","Female","1,386"
"155","Estimate",970304,"45 to 54 years","209","Male","938"
"156","Estimate",970304,"45 to 54 years","209","Female","1,386"
"157","Estimate",970304,"55 to 59 years","170","Male","938"
"158","Estimate",970304,"55 to 59 years","170","Female","1,386"
"159","Estimate",970304,"60 to 64 years","204","Male","938"
"160","Estimate",970304,"60 to 64 years","204","Female","1,386"
"161","Estimate",970304,"65 to 74 years","418","Male","938"
"162","Estimate",970304,"65 to 74 years","418","Female","1,386"
"163","Estimate",970304,"75 to 84 years","193","Male","938"
"164","Estimate",970304,"75 to 84 years","193","Female","1,386"
"165","Estimate",970304,"85 years and over","73","Male","938"
"166","Estimate",970304,"85 years and over","73","Female","1,386"
"167","Estimate",970304,"Median age (years)","50.6","Male","938"
"168","Estimate",970304,"Median age (years)","50.6","Female","1,386"
"169","Estimate",970305,"Under 5 years","100","Male","884"
"170","Estimate",970305,"Under 5 years","100","Female","1,053"
"171","Estimate",970305,"5 to 9 years","25","Male","884"
"172","Estimate",970305,"5 to 9 years","25","Female","1,053"
"173","Estimate",970305,"10 to 14 years","13","Male","884"
"174","Estimate",970305,"10 to 14 years","13","Female","1,053"
"175","Estimate",970305,"15 to 19 years","151","Male","884"
"176","Estimate",970305,"15 to 19 years","151","Female","1,053"
"177","Estimate",970305,"20 to 24 years","137","Male","884"
"178","Estimate",970305,"20 to 24 years","137","Female","1,053"
"179","Estimate",970305,"25 to 34 years","209","Male","884"
"180","Estimate",970305,"25 to 34 years","209","Female","1,053"
"181","Estimate",970305,"35 to 44 years","172","Male","884"
"182","Estimate",970305,"35 to 44 years","172","Female","1,053"
"183","Estimate",970305,"45 to 54 years","266","Male","884"
"184","Estimate",970305,"45 to 54 years","266","Female","1,053"
"185","Estimate",970305,"55 to 59 years","133","Male","884"
"186","Estimate",970305,"55 to 59 years","133","Female","1,053"
"187","Estimate",970305,"60 to 64 years","192","Male","884"
"188","Estimate",970305,"60 to 64 years","192","Female","1,053"
"189","Estimate",970305,"65 to 74 years","288","Male","884"
"190","Estimate",970305,"65 to 74 years","288","Female","1,053"
"191","Estimate",970305,"75 to 84 years","214","Male","884"
"192","Estimate",970305,"75 to 84 years","214","Female","1,053"
"193","Estimate",970305,"85 years and over","37","Male","884"
"194","Estimate",970305,"85 years and over","37","Female","1,053"
"195","Estimate",970305,"Median age (years)","50.9","Male","884"
"196","Estimate",970305,"Median age (years)","50.9","Female","1,053"
"197","Estimate",970401,"Under 5 years","22","Male","622"
"198","Estimate",970401,"Under 5 years","22","Female","822"
"199","Estimate",970401,"5 to 9 years","26","Male","622"
"200","Estimate",970401,"5 to 9 years","26","Female","822"
"201","Estimate",970401,"10 to 14 years","9","Male","622"
"202","Estimate",970401,"10 to 14 years","9","Female","822"
"203","Estimate",970401,"15 to 19 years","9","Male","622"
"204","Estimate",970401,"15 to 19 years","9","Female","822"
"205","Estimate",970401,"20 to 24 years","236","Male","622"
"206","Estimate",970401,"20 to 24 years","236","Female","822"
"207","Estimate",970401,"25 to 34 years","200","Male","622"
"208","Estimate",970401,"25 to 34 years","200","Female","822"
"209","Estimate",970401,"35 to 44 years","84","Male","622"
"210","Estimate",970401,"35 to 44 years","84","Female","822"
