"TRACT","CFLD_AFREQ"
970101,3.04287960037105
970102,2.39172918645035
970103,3.19700000003752
970200,3.19700000005041
970301,3.36581688939088
970304,3.35298623499351
970305,3.68489738330096
970401,3.68700000019353
970402,3.68700000007227
970403,3.62722418732608
970501,3.51890845515289
970502,3.68700000011116
970503,3.6869798472927
970504,3.68700000005659
970601,3.19700000008603
970602,3.19700000019504
970603,0.012
970606,3.19700000028233
970701,3.19700000015502
970702,3.19700000012794
970703,3.19700000016177
970704,3.53196392704974
970801,3.19700000013127
970804,3.19700000006193
970805,3.19700000034055
970806,3.25525124326579
970903,3.19700028805156
970904,3.49237128918115
971003,3.20273310766162
971103,3.59715099160171
980100,3.33933521473353
