Label (Grouping),SEX AND AGE,    Total population,        Male,        Female,        Sex ratio (males per 100 females),        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 34 years,        35 to 44 years,        45 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 74 years,        75 to 84 years,        85 years and over,        Median age (years),        Under 18 years,        16 years and over,        18 years and over,        21 years and over,        62 years and over,        65 years and over,        18 years and over,            Male,            Female,            Sex ratio (males per 100 females),        65 years and over,            Male,            Female,            Sex ratio (males per 100 females),RACE,    Total population,        One race,        Two or more races,        One race,            White,            Black or African American,            American Indian and Alaska Native,                Cherokee tribal grouping,                Chippewa tribal grouping,                Navajo tribal grouping,                Sioux tribal grouping,            Asian,                Asian Indian,                Chinese,                Filipino,                Japanese,                Korean,                Vietnamese,                Other Asian,            Native Hawaiian and Other Pacific Islander,                Native Hawaiian,                Chamorro,                Samoan,                Other Pacific Islander,            Some other race,        Two or more races,            White and Black or African American,            White and American Indian and Alaska Native,            White and Asian,            Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some other race alone,            Two or more races,                Two races including Some other race,"                Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",        Male,        Female
"Census Tract 9703.01, Carteret County, North Carolina!!Estimate",,"4,686","2,311","2,375",97.3,167,242,217,188,160,602,426,412,548,263,"1,083",307,71,52.3,743,"4,040","3,943","3,872","1,612","1,461","3,943","1,968","1,975",99.6,"1,461",685,776,88.3,,"4,686","4,471",215,"4,471","3,408",955,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,215,193,0,0,0,,"4,686","3,623","1,148",113,0,0,39,,"4,686",59,20,0,0,39,"4,627","3,388",955,91,0,0,0,193,0,193,"2,419",,"3,943","1,968","1,975"
"Census Tract 9703.01, Carteret County, North Carolina!!Percent",,"4,686",49.30%,50.70%,(X),3.60%,5.20%,4.60%,4.00%,3.40%,12.80%,9.10%,8.80%,11.70%,5.60%,23.10%,6.60%,1.50%,(X),15.90%,86.20%,84.10%,82.60%,34.40%,31.20%,"3,943",49.90%,50.10%,(X),"1,461",46.90%,53.10%,(X),,"4,686",95.40%,4.60%,95.40%,72.70%,20.40%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,4.60%,4.10%,0.00%,0.00%,0.00%,,"4,686",77.30%,24.50%,2.40%,0.00%,0.00%,0.80%,,"4,686",1.30%,0.40%,0.00%,0.00%,0.80%,98.70%,72.30%,20.40%,1.90%,0.00%,0.00%,0.00%,4.10%,0.00%,4.10%,(X),,"3,943",49.90%,50.10%
"Census Tract 9703.04, Carteret County, North Carolina!!Estimate",,"2,324",938,"1,386",67.7,67,104,246,105,87,210,238,209,170,204,418,193,73,50.6,522,"1,857","1,802","1,789",795,684,"1,802",662,"1,140",58.1,684,299,385,77.7,,"2,324","2,178",146,"2,178","1,916",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,146,91,44,0,0,,"2,324","2,062",304,55,0,0,60,,"2,324",11,0,11,0,0,"2,313","1,916",202,0,0,0,60,135,0,135,"1,540",,"1,791",651,"1,140"
"Census Tract 9703.04, Carteret County, North Carolina!!Percent",,"2,324",40.40%,59.60%,(X),2.90%,4.50%,10.60%,4.50%,3.70%,9.00%,10.20%,9.00%,7.30%,8.80%,18.00%,8.30%,3.10%,(X),22.50%,79.90%,77.50%,77.00%,34.20%,29.40%,"1,802",36.70%,63.30%,(X),684,43.70%,56.30%,(X),,"2,324",93.70%,6.30%,93.70%,82.40%,8.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.60%,6.30%,3.90%,1.90%,0.00%,0.00%,,"2,324",88.70%,13.10%,2.40%,0.00%,0.00%,2.60%,,"2,324",0.50%,0.00%,0.50%,0.00%,0.00%,99.50%,82.40%,8.70%,0.00%,0.00%,0.00%,2.60%,5.80%,0.00%,5.80%,(X),,"1,791",36.30%,63.70%
"Census Tract 9703.05, Carteret County, North Carolina!!Estimate",,"1,937",884,"1,053",84,100,25,13,151,137,209,172,266,133,192,288,214,37,50.9,181,"1,788","1,756","1,598",638,539,"1,756",789,967,81.6,539,205,334,61.4,,"1,937","1,870",67,"1,870","1,437",401,7,0,0,0,0,11,9,0,2,0,0,0,0,0,0,0,0,0,14,67,12,4,0,19,,"1,937","1,485",439,30,11,0,46,,"1,937",48,19,5,17,7,"1,889","1,420",401,7,11,0,0,50,8,42,"1,372",,"1,728",780,948
"Census Tract 9703.05, Carteret County, North Carolina!!Percent",,"1,937",45.60%,54.40%,(X),5.20%,1.30%,0.70%,7.80%,7.10%,10.80%,8.90%,13.70%,6.90%,9.90%,14.90%,11.00%,1.90%,(X),9.30%,92.30%,90.70%,82.50%,32.90%,27.80%,"1,756",44.90%,55.10%,(X),539,38.00%,62.00%,(X),,"1,937",96.50%,3.50%,96.50%,74.20%,20.70%,0.40%,0.00%,0.00%,0.00%,0.00%,0.60%,0.50%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,3.50%,0.60%,0.20%,0.00%,1.00%,,"1,937",76.70%,22.70%,1.50%,0.60%,0.00%,2.40%,,"1,937",2.50%,1.00%,0.30%,0.90%,0.40%,97.50%,73.30%,20.70%,0.40%,0.60%,0.00%,0.00%,2.60%,0.40%,2.20%,(X),,"1,728",45.10%,54.90%
"Census Tract 9704.01, Carteret County, North Carolina!!Estimate",,"1,444",622,822,75.7,22,26,9,9,236,200,84,165,119,141,165,203,65,54.1,66,"1,383","1,378","1,378",521,433,"1,378",582,796,73.1,433,128,305,42,,"1,444","1,420",24,"1,420","1,256",149,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,,"1,444","1,280",149,24,15,0,0,,"1,444",6,0,0,0,6,"1,438","1,250",149,0,15,0,0,24,0,24,"1,116",,"1,352",556,796
"Census Tract 9704.01, Carteret County, North Carolina!!Percent",,"1,444",43.10%,56.90%,(X),1.50%,1.80%,0.60%,0.60%,16.30%,13.90%,5.80%,11.40%,8.20%,9.80%,11.40%,14.10%,4.50%,(X),4.60%,95.80%,95.40%,95.40%,36.10%,30.00%,"1,378",42.20%,57.80%,(X),433,29.60%,70.40%,(X),,"1,444",98.30%,1.70%,98.30%,87.00%,10.30%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,0.00%,1.70%,0.00%,0.00%,,"1,444",88.60%,10.30%,1.70%,1.00%,0.00%,0.00%,,"1,444",0.40%,0.00%,0.00%,0.00%,0.40%,99.60%,86.60%,10.30%,0.00%,1.00%,0.00%,0.00%,1.70%,0.00%,1.70%,(X),,"1,352",41.10%,58.90%
"Census Tract 9704.02, Carteret County, North Carolina!!Estimate",,"1,351",665,686,96.9,125,78,17,44,68,231,106,89,133,206,170,49,35,46.9,228,"1,131","1,123","1,087",421,254,"1,123",538,585,92,254,116,138,84.1,,"1,351","1,236",115,"1,236",979,227,11,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,4,115,5,32,0,50,,"1,351","1,044",303,114,36,0,11,,"1,351",47,20,0,21,6,"1,304",963,227,5,15,0,0,94,7,87,918,,"1,091",532,559
"Census Tract 9704.02, Carteret County, North Carolina!!Percent",,"1,351",49.20%,50.80%,(X),9.30%,5.80%,1.30%,3.30%,5.00%,17.10%,7.80%,6.60%,9.80%,15.20%,12.60%,3.60%,2.60%,(X),16.90%,83.70%,83.10%,80.50%,31.20%,18.80%,"1,123",47.90%,52.10%,(X),254,45.70%,54.30%,(X),,"1,351",91.50%,8.50%,91.50%,72.50%,16.80%,0.80%,0.00%,0.00%,0.00%,0.00%,1.10%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,8.50%,0.40%,2.40%,0.00%,3.70%,,"1,351",77.30%,22.40%,8.40%,2.70%,0.00%,0.80%,,"1,351",3.50%,1.50%,0.00%,1.60%,0.40%,96.50%,71.30%,16.80%,0.40%,1.10%,0.00%,0.00%,7.00%,0.50%,6.40%,(X),,"1,091",48.80%,51.20%
"Census Tract 9704.03, Carteret County, North Carolina!!Estimate",,"1,196",552,644,85.7,10,29,26,160,39,83,129,223,57,34,231,136,39,49.5,84,"1,119","1,112",971,424,406,"1,112",525,587,89.4,406,191,215,88.8,,"1,196",921,275,921,893,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,275,237,0,0,38,,"1,196","1,130",294,38,0,4,5,,"1,196",239,0,234,0,5,957,893,19,0,0,4,0,41,0,41,"1,133",,"1,112",525,587
"Census Tract 9704.03, Carteret County, North Carolina!!Percent",,"1,196",46.20%,53.80%,(X),0.80%,2.40%,2.20%,13.40%,3.30%,6.90%,10.80%,18.60%,4.80%,2.80%,19.30%,11.40%,3.30%,(X),7.00%,93.60%,93.00%,81.20%,35.50%,33.90%,"1,112",47.20%,52.80%,(X),406,47.00%,53.00%,(X),,"1,196",77.00%,23.00%,77.00%,74.70%,1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.30%,0.40%,23.00%,19.80%,0.00%,0.00%,3.20%,,"1,196",94.50%,24.60%,3.20%,0.00%,0.30%,0.40%,,"1,196",20.00%,0.00%,19.60%,0.00%,0.40%,80.00%,74.70%,1.60%,0.00%,0.00%,0.30%,0.00%,3.40%,0.00%,3.40%,(X),,"1,112",47.20%,52.80%
"Census Tract 9705.01, Carteret County, North Carolina!!Estimate",,"3,033","1,530","1,503",101.8,161,62,281,62,237,562,317,318,228,306,350,107,42,39.8,522,"2,521","2,511","2,440",749,499,"2,511","1,205","1,306",92.3,499,227,272,83.5,,"3,033","2,786",247,"2,786","2,648",65,0,0,0,0,0,56,0,0,56,0,0,0,0,0,0,0,0,0,17,247,143,10,28,0,,"3,033","2,895",274,76,84,0,17,,"3,033",343,305,26,0,12,"2,690","2,322",65,0,56,0,0,247,0,247,"1,395",,"2,429","1,160","1,269"
"Census Tract 9705.01, Carteret County, North Carolina!!Percent",,"3,033",50.40%,49.60%,(X),5.30%,2.00%,9.30%,2.00%,7.80%,18.50%,10.50%,10.50%,7.50%,10.10%,11.50%,3.50%,1.40%,(X),17.20%,83.10%,82.80%,80.40%,24.70%,16.50%,"2,511",48.00%,52.00%,(X),499,45.50%,54.50%,(X),,"3,033",91.90%,8.10%,91.90%,87.30%,2.10%,0.00%,0.00%,0.00%,0.00%,0.00%,1.80%,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,8.10%,4.70%,0.30%,0.90%,0.00%,,"3,033",95.50%,9.00%,2.50%,2.80%,0.00%,0.60%,,"3,033",11.30%,10.10%,0.90%,0.00%,0.40%,88.70%,76.60%,2.10%,0.00%,1.80%,0.00%,0.00%,8.10%,0.00%,8.10%,(X),,"2,429",47.80%,52.20%
"Census Tract 9705.02, Carteret County, North Carolina!!Estimate",,"2,204","1,120","1,084",103.3,134,79,71,83,55,273,206,297,149,253,357,220,27,52.5,342,"1,920","1,862","1,818",805,604,"1,862",900,962,93.6,604,268,336,79.8,,"2,204","2,184",20,"2,184","2,146",34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,4,0,,"2,204","2,162",34,11,8,0,9,,"2,204",9,0,9,0,0,"2,195","2,146",34,4,0,0,0,11,0,11,"1,133",,"1,819",878,941
"Census Tract 9705.02, Carteret County, North Carolina!!Percent",,"2,204",50.80%,49.20%,(X),6.10%,3.60%,3.20%,3.80%,2.50%,12.40%,9.30%,13.50%,6.80%,11.50%,16.20%,10.00%,1.20%,(X),15.50%,87.10%,84.50%,82.50%,36.50%,27.40%,"1,862",48.30%,51.70%,(X),604,44.40%,55.60%,(X),,"2,204",99.10%,0.90%,99.10%,97.40%,1.50%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.00%,0.10%,0.20%,0.00%,,"2,204",98.10%,1.50%,0.50%,0.40%,0.00%,0.40%,,"2,204",0.40%,0.00%,0.40%,0.00%,0.00%,99.60%,97.40%,1.50%,0.20%,0.00%,0.00%,0.00%,0.50%,0.00%,0.50%,(X),,"1,819",48.30%,51.70%
"Census Tract 9705.03, Carteret County, North Carolina!!Estimate",,"2,162",950,"1,212",78.4,90,165,194,85,27,224,278,313,88,244,237,111,106,46.5,514,"1,713","1,648","1,620",590,454,"1,648",720,928,77.6,454,204,250,81.6,,"2,162","1,971",191,"1,971","1,707",109,0,0,0,0,0,92,73,0,0,19,0,0,0,0,0,0,0,0,63,191,42,21,0,91,,"2,162","1,770",279,112,92,0,100,,"2,162",127,111,0,0,16,"2,035","1,680",109,0,92,0,0,154,0,154,"1,113",,"1,608",688,920
"Census Tract 9705.03, Carteret County, North Carolina!!Percent",,"2,162",43.90%,56.10%,(X),4.20%,7.60%,9.00%,3.90%,1.20%,10.40%,12.90%,14.50%,4.10%,11.30%,11.00%,5.10%,4.90%,(X),23.80%,79.20%,76.20%,74.90%,27.30%,21.00%,"1,648",43.70%,56.30%,(X),454,44.90%,55.10%,(X),,"2,162",91.20%,8.80%,91.20%,79.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.30%,3.40%,0.00%,0.00%,0.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.90%,8.80%,1.90%,1.00%,0.00%,4.20%,,"2,162",81.90%,12.90%,5.20%,4.30%,0.00%,4.60%,,"2,162",5.90%,5.10%,0.00%,0.00%,0.70%,94.10%,77.70%,5.00%,0.00%,4.30%,0.00%,0.00%,7.10%,0.00%,7.10%,(X),,"1,608",42.80%,57.20%
"Census Tract 9705.04, Carteret County, North Carolina!!Estimate",,"1,861",893,968,92.3,121,167,152,113,12,135,256,370,76,139,255,47,18,44.5,523,"1,386","1,338","1,308",411,320,"1,338",598,740,80.8,320,136,184,73.9,,"1,861","1,690",171,"1,690","1,537",47,0,0,0,0,0,106,39,0,38,0,0,29,0,0,0,0,0,0,0,171,28,0,22,0,,"1,861","1,698",196,121,207,0,10,,"1,861",168,64,14,21,69,"1,693","1,480",47,0,106,0,0,60,0,60,897,,"1,265",535,730
"Census Tract 9705.04, Carteret County, North Carolina!!Percent",,"1,861",48.00%,52.00%,(X),6.50%,9.00%,8.20%,6.10%,0.60%,7.30%,13.80%,19.90%,4.10%,7.50%,13.70%,2.50%,1.00%,(X),28.10%,74.50%,71.90%,70.30%,22.10%,17.20%,"1,338",44.70%,55.30%,(X),320,42.50%,57.50%,(X),,"1,861",90.80%,9.20%,90.80%,82.60%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,5.70%,2.10%,0.00%,2.00%,0.00%,0.00%,1.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.20%,1.50%,0.00%,1.20%,0.00%,,"1,861",91.20%,10.50%,6.50%,11.10%,0.00%,0.50%,,"1,861",9.00%,3.40%,0.80%,1.10%,3.70%,91.00%,79.50%,2.50%,0.00%,5.70%,0.00%,0.00%,3.20%,0.00%,3.20%,(X),,"1,265",42.30%,57.70%
"Census Tract 9706.01, Carteret County, North Carolina!!Estimate",,"1,070",542,528,102.7,84,32,70,64,31,41,150,132,105,94,182,69,16,49.1,215,873,855,810,332,267,855,418,437,95.7,267,116,151,76.8,,"1,070","1,057",13,"1,057","1,016",13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,9,3,0,0,,"1,070","1,029",22,7,0,1,25,,"1,070",44,6,13,25,0,"1,026",997,13,3,0,0,0,13,0,13,629,,855,418,437
"Census Tract 9706.01, Carteret County, North Carolina!!Percent",,"1,070",50.70%,49.30%,(X),7.90%,3.00%,6.50%,6.00%,2.90%,3.80%,14.00%,12.30%,9.80%,8.80%,17.00%,6.40%,1.50%,(X),20.10%,81.60%,79.90%,75.70%,31.00%,25.00%,855,48.90%,51.10%,(X),267,43.40%,56.60%,(X),,"1,070",98.80%,1.20%,98.80%,95.00%,1.20%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.30%,1.20%,0.80%,0.30%,0.00%,0.00%,,"1,070",96.20%,2.10%,0.70%,0.00%,0.10%,2.30%,,"1,070",4.10%,0.60%,1.20%,2.30%,0.00%,95.90%,93.20%,1.20%,0.30%,0.00%,0.00%,0.00%,1.20%,0.00%,1.20%,(X),,855,48.90%,51.10%
"Census Tract 9706.02, Carteret County, North Carolina!!Estimate",,"1,105",633,472,134.1,62,4,32,63,66,154,48,131,103,208,142,92,0,53.4,161,997,944,907,362,234,944,510,434,117.5,234,128,106,120.8,,"1,105","1,105",0,"1,105",992,0,0,0,0,0,0,113,0,0,0,1,0,112,0,0,0,0,0,0,0,0,0,0,0,0,,"1,105",992,0,0,113,0,0,,"1,105",0,0,0,0,0,"1,105",992,0,0,113,0,0,0,0,0,586,,944,510,434
